STUDY_ID,PROFILE_ID,NAME,DESCRIPTION,DATATYPE
ov_tcga_pub,ov_tcga_pub_mrna,mRNA expression (all genes),"mRNA expression values, median values from all three mRNA expression platforms.",CONTINUOUS
ov_tcga_pub,ov_tcga_pub_mrna_median_Zscores,mRNA expression Z-scores (all genes),"mRNA expression Z-scores compared to diploid tumors (diploid for each gene), median values from all three mRNA expression platforms.",Z-SCORE
ov_tcga_pub,ov_tcga_pub_mirna,microRNA expression,expression levels for microRNAs.,CONTINUOUS
ov_tcga_pub,ov_tcga_pub_mirna_median_Zscores,microRNA expression Z-scores,microRNA expression Z-scores compared to all tumors.,Z-SCORE
ov_tcga_pub,ov_tcga_pub_mrna_merged_median_Zscores,mRNA/miRNA expression Z-scores (all genes),"mRNA and microRNA Z-scores merged: mRNA expression Z-scores compared to diploid tumors (diploid for each gene), median values from all three mRNA expression platforms; and miRNA z-Scores compared to all tumours.",Z-SCORE
coad_cptac_2019,coad_cptac_2019_mirna,microRNA expression,"miRNA expression for tumor samples (RPM, Log2(n+1))",CONTINUOUS
coad_cptac_2019,coad_cptac_2019_mirna_median_Zscores,microRNA expression Z-scores,microRNA expression Z-scores compared to all tumors.,Z-SCORE
mel_ucla_2016,mel_ucla_2016_rna_seq_mrna,mRNA expression (RNA-Seq),Expression levels (RNA-Seq FPKM),CONTINUOUS
mel_ucla_2016,mel_ucla_2016_rna_seq_mrna_median_Zscores,mRNA expression z-scores (RNA-Seq),Expression levels z-scores (RNA-Seq FPKM),Z-SCORE
all_phase2_target_2018_pub,all_phase2_target_2018_pub_rna_seq_mrna,mRNA expression (RNA-Seq RPKM),Expression levels for 26136 genes in 203 all cases (RNA-Seq RPKM).,CONTINUOUS
all_phase2_target_2018_pub,all_phase2_target_2018_pub_rna_seq_mrna_median_Zscores,mRNA Expression z-Scores (RNA Seq RPKM),mRNA z-Scores (RNA Seq RPKM) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
all_phase2_target_2018_pub,all_phase2_target_2018_pub_mrna,mRNA expression (microarray),mRNA expression levels (Affymetrix microarray),CONTINUOUS
all_phase2_target_2018_pub,all_phase2_target_2018_pub_mrna_median_Zscores,mRNA Expression z-Scores (microarray),mRNA z-Scores (Agilent microarray) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
all_phase2_target_2018_pub,all_phase2_target_2018_pub_mirna,microRNA expression,Expression levels for microRNAs.,CONTINUOUS
sarc_tcga_pub,sarc_tcga_pub_rna_seq_v2_mrna,mRNA expression (RNA Seq V2 RSEM),Expression levels for 20532 genes in 264 soft_tissue cases (RNA Seq V2 RSEM).,CONTINUOUS
sarc_tcga_pub,sarc_tcga_pub_rna_seq_v2_mrna_median_Zscores,mRNA Expression z-Scores relative to diploid samples (RNA Seq V2 RSEM),mRNA z-Scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
sarc_tcga_pub,sarc_tcga_pub_rna_seq_v2_mrna_median_all_sample_Zscores,mRNA expression z-scores relative to all samples (log RNA Seq V2 RSEM),Log-transformed mRNA z-scores compared to the expression distribution of all samples (RNA Seq V2 RSEM).,Z-SCORE
skcm_mskcc_2014,skcm_mskcc_2014_rna_seq_mrna,mRNA expression (RNA-Seq RPKM),Expression levels for TARGET ALL Phase II Discovery cases (RNA-Seq RPKM).,CONTINUOUS
skcm_mskcc_2014,skcm_mskcc_2014_mrna_median_Zscores,mRNA expression z-scores relative to diploid samples (RNA Seq FPKM),mRNA expression z-scores (RNA Seq FPKM) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
skcm_mskcc_2014,skcm_mskcc_2014_rna_seq_mrna_median_all_sample_Zscores,mRNA expression z-scores relative to all samples (log RNA Seq RPKM),Log-transformed mRNA z-scores compared to the expression distribution of all samples (RNA Seq RPKM).,Z-SCORE
rt_target_2018_pub,rt_target_2018_pub_rna_seq_mrna,mRNA expression (RNA-Seq RPKM),Expression levels for 26136 genes in 47 RT cases (RNA-Seq RPKM).,CONTINUOUS
